Name,Position,Age,ca,pa,Nationality,Club,Corners,Crossing,Dribbling,Finishing,First Touch,Free Kick Taking,Heading,Long Shots,Long Throws,Marking,Passing,Penalty Taking,Tackling,Technique,Aggressiion,Anticipation,Bravery,Composure,Concentration,Vision,Decision,Determination,Flair,Leadership,Off The Ball,Position.1,Teamwork,Work Rate,Acceleration,Agility,Balance,Jumping Reach,Natural Fitness,Pace,Stamina,Strength,Stability,Foul,Contest performance,Injury,diversity,Aerial Reach,Command Of Area,Communication,Eccentricity,Handling,Kicking,One On Ones,Reflexes,Rushing Out,Punching,Throwing,Adaptation,Ambition,Argue,Loyal,Resistant to stress,Professional,Sportsmanship,Emotional control,GK,DL,DC,DR,WBL,WBR,DM,ML,MC,MR,AML,AMC,AMR,ST,Height,Weight,Left Foot,Right Foot,Values,Current reputation,Domestic reputation,World reputation,Race,RCA,Colour of skin,Date of birth,Number of national team appearances,Goals scored for the national team,Salary,Rental club,UID
Matteo Ricci,DM/M C,28,121,137,Italy,Frosinone,9,9,12,10,13,12,5,14,3,13,14,14,12,14,10,12,11,12,12,14,12,14,15,5,11,12,13,12,13,14,12,7,11,12,13,9,12,8,12,5,12,2,2,4,3,2,1,1,1,1,2,2,17,8,6,11,12,12,10,11,1,1,1,1,1,1,20,1,19,1,1,12,1,1,176,68,10,20,1.2,6100,6050,4100,Northern_European,118,6,1994/5/27,0,0,7115.0,Fatih Karagümrük A.Ş.,43093394
Abdallah Sima,AM R,21,121,144,Senegal,Brighton & Hove Albion,4,7,14,15,11,6,15,6,3,11,8,6,10,11,10,10,11,13,9,10,15,7,13,13,13,7,13,10,16,12,12,16,7,15,11,13,12,8,1,14,14,1,1,1,3,2,1,3,1,2,3,4,14,13,2,14,12,8,13,11,1,1,1,1,1,1,1,6,1,12,14,1,20,15,188,74,8,20,7.0,6050,6050,4500,African_Caribbean,114,17,2001/6/17,4,0,9279.0,Angers SCO,2000052135
Santiago Moreno,AM RLC,22,121,140,Colombia,Portland Timbers,12,12,14,12,13,9,8,11,10,8,13,11,8,13,8,11,6,12,11,13,13,12,13,5,13,9,11,12,14,13,10,8,12,13,11,10,10,4,10,5,13,1,1,1,3,3,3,3,2,2,3,3,13,12,4,10,13,13,12,10,1,1,1,1,1,12,12,1,14,13,20,16,18,12,180,78,10,20,2.5,6079,5460,3256,African_Caribbean,117,16,2000/4/21,0,0,6680.0,,76062954
Aleksandar Radovanović,D C,28,121,130,Serbia,KV Kortrijk,9,9,8,7,12,9,14,8,10,14,10,5,14,10,12,13,12,11,12,10,14,15,9,12,10,13,10,12,10,11,11,14,17,11,13,15,14,10,12,12,8,3,1,2,1,1,2,4,2,2,3,1,12,13,8,11,12,15,13,14,1,1,20,1,1,1,1,1,1,1,1,1,1,1,189,83,20,8,0.6,5950,5500,3606,Northern_European,122,5,1993/11/11,0,0,6499.0,,62075821
Christian Brüls,M/AM RC,33,121,126,Belgium,K Sint-Truidense VV,14,14,13,10,12,12,9,13,6,8,15,12,7,13,8,13,14,12,14,16,15,13,14,13,13,12,13,13,10,10,11,8,9,9,11,8,14,6,14,7,11,1,2,2,3,4,3,4,1,2,1,1,12,12,10,7,14,8,15,14,1,1,1,1,1,1,1,1,19,1,12,20,16,1,179,72,14,20,0.2,5501,5501,3005,Northern_European,119,2,1988/9/30,0,0,8500.0,,18000514
Marius Høibråten,D LC,27,121,121,Norway,FK Bodø/Glimt,5,10,8,7,9,9,13,11,11,15,11,7,13,10,18,13,17,10,12,9,10,12,5,12,5,14,17,17,10,10,15,15,15,10,16,15,14,10,14,4,11,1,3,3,2,3,1,2,3,1,1,3,10,11,6,10,10,10,10,8,1,15,20,1,1,1,1,1,1,1,1,1,1,1,184,77,20,7,1.2,5884,5884,3268,Northern_European,120,4,1995/1/23,0,0,1109.0,,53060133
Thulani Serero,DM/M C,32,121,127,South Africa,Al-Jazira Sports & Culture Club,11,10,12,8,14,10,6,5,5,10,13,10,11,13,14,13,13,12,13,12,13,14,13,8,12,11,15,17,13,15,8,6,16,13,15,7,12,4,15,9,14,2,2,3,1,4,3,2,1,1,3,3,12,12,7,12,11,13,18,15,1,1,1,1,1,1,20,12,19,12,10,14,10,1,172,68,11,20,0.7,6000,5850,5000,African_Caribbean,116,16,1990/4/11,43,2,25656.0,,65002503
Kings Kangwa,M C,23,121,135,Zambia,FK Crvena zvezda Beograd,12,12,14,9,13,14,7,13,6,10,14,12,12,13,12,12,11,13,12,13,13,13,12,7,10,10,12,13,15,14,13,6,12,14,14,8,13,12,13,5,13,1,1,2,1,1,1,2,2,3,1,3,7,12,2,13,10,14,11,17,1,1,1,1,1,1,15,1,20,1,9,15,11,1,165,64,8,20,1.5,6000,6000,4250,African_Caribbean,122,16,1999/4/6,15,3,8500.0,,13203374
Lee Yong,D/WB R,35,121,125,South Korea,Jeonbuk Hyundai Motors,10,16,12,9,13,13,10,13,8,14,12,8,14,13,13,12,11,12,13,12,13,10,11,12,13,13,14,15,11,11,12,11,15,12,11,13,11,11,14,9,14,1,2,3,3,4,3,2,2,1,1,3,12,9,2,11,11,9,12,15,1,8,10,20,1,16,1,1,1,1,1,1,1,1,180,74,9,20,0.3,6000,6000,3000,10,121,5,1986/12/24,57,0,4971.0,Suwon FC,66010088
Jo Inge Berget,M/AM/S RL,31,121,130,Norway,Malmö FF,12,13,11,11,12,11,12,10,8,8,11,13,8,12,14,13,14,12,14,12,13,15,9,12,12,11,15,15,11,8,12,12,14,13,15,14,13,11,14,11,15,1,2,1,2,2,2,3,1,2,3,2,13,12,9,13,15,14,9,8,1,8,1,8,14,14,1,14,10,17,15,14,20,17,186,81,6,20,0.4,6050,5800,4250,Northern_European,114,1,1990/9/11,20,2,4659.0,,762823
Gyasi Zardes,AM/S RL,30,121,123,"United States,Ghana",Colorado Rapids,8,12,11,12,10,8,11,8,9,7,10,7,6,9,10,12,14,9,10,13,9,15,11,8,14,9,13,14,15,12,10,12,15,14,15,13,10,3,12,10,16,1,3,4,2,1,3,3,2,3,2,2,13,14,5,14,12,18,19,13,1,1,1,5,1,1,1,13,1,13,17,8,17,20,186,85,12,20,1.2,6081,6081,4317,African_Caribbean,113,15,1991/9/2,67,13,30053.0,,72038783
Mathew Leckie,M/AM RL,31,121,132,Australia,Melbourne City FC,9,10,13,11,11,8,15,11,6,6,10,14,8,11,14,9,13,8,10,9,9,10,12,8,11,7,12,15,13,11,14,14,16,17,15,13,11,5,11,7,15,3,2,1,1,1,3,1,2,1,2,2,14,13,3,11,11,15,13,12,1,1,1,8,1,10,1,17,1,20,17,10,20,12,181,82,10,20,0.65,6200,6214,4518,Northern_European,108,5,1991/2/4,71,13,5477.0,,29065287
Jhon Jairo Cifuente,S,30,121,125,Ecuador,Barcelona Sporting Club,6,8,11,16,10,9,14,14,4,3,9,14,5,12,11,12,11,16,10,8,11,12,10,9,16,6,10,13,14,13,12,9,10,12,11,15,12,8,11,7,5,1,1,1,3,1,1,2,3,3,2,1,11,10,14,12,11,5,12,13,1,1,1,1,1,1,1,1,1,1,1,1,1,20,179,82,8,20,0.6,6050,6050,3000,African_Caribbean,118,17,1992/7/23,4,2,5227.0,,86055124
Chadrac Akolo,M/AM RLC,27,121,132,Democratic Republic of Congo,FC St. Gallen 1879,8,10,13,12,14,9,8,11,6,5,11,10,7,14,15,11,12,9,10,12,9,10,17,7,14,6,13,14,14,15,12,6,14,13,12,8,11,5,11,6,13,3,3,1,2,1,3,3,3,2,2,2,13,16,6,12,8,15,12,14,1,1,1,1,1,1,1,15,12,17,17,15,20,14,172,72,14,20,0.7,6047,6199,4249,African_Caribbean,116,18,1995/4/1,19,2,7434.0,,98033347
Osmar,D/DM/M C,34,121,128,Spain,FC Seoul,6,10,11,8,12,12,14,13,9,13,14,9,13,11,11,14,13,14,12,14,13,14,9,14,8,14,14,14,10,9,14,13,19,9,13,14,16,13,12,5,9,3,2,3,3,3,1,3,1,4,1,1,13,15,8,13,12,15,12,11,1,12,17,1,1,1,20,1,18,1,1,1,1,1,192,83,20,7,0.55,6050,5650,3500,Mediterranean_Hispanic,119,4,1988/6/5,0,0,12999.0,,67062727
Cheikh Niasse,D/DM/M C,22,121,136,Senegal,BSC Young Boys,5,8,9,8,11,6,13,10,5,14,12,11,14,11,13,13,12,13,11,10,12,12,10,12,9,12,14,14,13,12,14,14,12,13,14,13,12,11,6,5,10,2,1,3,2,1,1,3,2,1,3,1,15,11,4,10,9,10,15,16,1,1,16,1,1,1,20,1,17,1,1,1,1,1,188,73,8,20,3.8,6021,5733,3254,African_Caribbean,116,16,2000/1/19,0,0,7857.0,,49038255
Djorkaeff Reasco,S,23,121,130,Ecuador,Club Atlético Newell's Old Boys,9,11,13,14,13,10,13,14,5,5,12,10,5,14,11,12,9,13,11,11,10,14,13,8,15,7,15,13,13,15,10,9,10,14,13,11,9,7,12,12,15,3,1,1,1,2,3,3,2,3,2,1,9,13,4,11,12,10,12,14,1,1,1,1,1,1,1,1,1,1,10,12,10,20,172,70,8,20,0.3,5908,5921,2985,African_Caribbean,120,16,1999/1/18,3,0,6445.0,,86051909
Salis Abdul Samed,DM/M C,22,121,144,Ghana,RC Lens,8,11,11,6,13,10,11,9,9,14,12,8,13,12,10,13,12,12,12,12,13,11,11,10,10,14,13,14,13,12,11,11,13,13,14,14,12,11,9,10,8,1,1,1,2,1,3,3,3,2,4,3,11,11,10,10,10,12,10,9,1,1,1,1,1,1,20,1,20,1,1,1,1,1,179,69,8,20,18.0,6048,6048,2502,African_Caribbean,122,16,2000/3/26,0,0,7535.0,,49060803
Ignace Van Der Brempt,D/WB R,20,121,-8,Belgium,Fussballclub RB Salzburg,9,12,11,7,11,7,11,7,9,11,11,4,11,11,14,11,13,10,11,10,10,15,5,8,13,10,15,14,14,11,12,14,13,15,14,12,10,9,8,5,12,1,2,3,2,1,2,4,3,2,1,2,15,16,8,11,10,10,11,20,1,1,14,20,1,18,1,1,1,15,1,1,13,1,187,0,12,20,3.5,6090,6060,2249,Northern_European,112,3,2002/4/1,0,0,4800.0,,18110809
Amine Adli,AM LC,22,121,145,"France,Morocco",Bayer 04 Leverkusen,11,12,14,12,13,12,10,13,3,6,13,11,5,14,11,13,11,12,10,13,12,14,15,10,13,8,13,14,14,14,12,10,14,15,11,8,12,5,11,5,12,4,3,2,1,3,1,2,2,2,3,2,13,15,11,12,11,13,11,11,1,1,1,1,1,1,1,1,13,1,15,20,13,14,174,72,20,8,25.0,6050,5800,4250,African_Caribbean,120,13,2000/5/10,0,0,23014.0,,49037698
Maxime Estève,D C,20,121,-85,France,Montpellier Hérault SC,5,5,6,4,11,4,13,8,5,13,12,11,10,12,12,14,13,14,13,10,13,13,5,10,10,13,13,13,13,10,12,13,12,16,12,15,14,8,14,10,17,2,1,3,1,2,1,3,2,1,1,1,11,13,7,10,15,14,14,14,1,14,20,1,1,1,1,1,1,1,1,1,1,1,193,87,20,8,7.0,6050,6050,3250,Northern_European,120,4,2002/5/26,0,0,5336.0,,49060933
Dominic Hyam,D C,26,121,130,"Scotland,England",Blackburn Rovers,8,7,6,8,9,4,14,6,7,12,11,7,14,11,10,13,13,11,14,9,13,12,3,15,10,15,10,11,10,11,11,14,12,10,12,15,16,7,10,5,10,1,1,2,1,3,1,2,3,1,3,1,15,12,1,12,12,11,13,17,1,1,20,1,1,1,1,1,1,1,1,1,1,1,188,70,10,20,3.0,6050,6050,2750,Northern_European,120,4,1995/12/20,0,0,8699.0,,28086114
Ortwin De Wolf,GK,25,121,125,Belgium,R Antwerp FC,3,3,3,2,7,6,1,1,3,3,11,1,2,11,13,11,12,11,16,12,12,12,1,11,3,13,11,11,11,13,14,15,11,12,12,14,12,9,12,8,11,14,10,11,8,12,15,10,12,11,11,13,8,14,6,10,13,12,11,20,20,1,1,1,1,1,1,1,1,1,1,1,1,1,192,83,20,7,0.3,5750,5750,500,Northern_European,120,2,1997/4/23,0,0,3999.0,,18100347
Juan Sánchez Miño,WB/M LC,32,121,131,"Argentina,Italy",Club Atlético Colón de Santa Fe,13,13,13,10,14,13,8,12,12,12,14,12,12,14,11,13,14,12,12,13,9,13,15,10,14,11,13,13,12,12,13,8,15,14,14,13,8,6,13,8,15,2,1,2,3,2,2,3,2,3,1,1,10,9,6,13,12,14,15,10,1,14,1,1,16,1,1,20,17,1,13,1,1,1,175,73,20,7,0.2,6183,6183,3699,Native_American,124,6,1990/1/1,0,0,8783.0,,14005516
Juan Manuel Insaurralde,D C,37,121,139,Argentina,Club Atlético Independiente,4,8,7,8,10,4,16,7,10,16,13,8,13,10,15,14,15,13,14,7,13,13,6,15,7,13,12,15,7,8,16,16,14,8,11,15,15,17,13,10,7,2,1,1,1,3,2,2,1,2,2,2,12,13,8,12,10,13,9,14,1,1,20,1,1,1,1,1,1,1,1,1,1,1,188,87,20,9,0.25,6082,6082,3803,Mediterranean_Hispanic,123,11,1984/10/3,2,0,7135.0,,959794
Pedro de la Vega,AM RLC,21,121,144,"Argentina,Spain",Club Atlético Lanús,8,10,15,11,13,11,8,13,11,6,12,6,7,14,5,13,12,11,13,13,12,9,11,15,14,7,12,13,14,15,9,7,13,13,13,8,9,7,8,9,12,2,1,3,1,3,2,2,2,2,3,2,8,13,6,13,10,15,13,11,1,1,1,1,1,1,1,13,1,11,18,20,17,14,177,71,10,20,6.5,6250,6250,3400,Mediterranean_Hispanic,122,7,2001/2/7,0,0,4061.0,,14217264
Filip Stevanović,AM RLC,19,121,-8,Serbia,Manchester City,11,11,15,12,14,9,6,11,6,7,12,10,8,15,10,11,12,12,11,13,11,14,15,10,12,6,11,11,14,15,10,6,12,13,10,8,10,10,11,7,11,1,2,2,3,4,1,3,1,4,2,1,10,14,9,11,12,12,12,11,1,1,1,1,1,1,1,13,12,13,20,17,19,10,177,72,13,20,1.3,6050,5950,4050,Northern_European,119,4,2002/9/25,0,0,11599.0,Santa Clara Açores Futebol,62235341
Nicolás Thaller,D C,23,121,130,"Argentina,Italy",Club Atlético Lanús,3,5,8,4,11,6,13,6,6,14,11,8,15,12,14,14,15,11,11,11,12,5,7,7,5,13,13,14,11,11,15,14,12,12,14,15,11,11,8,8,5,3,2,4,1,1,1,3,3,1,3,3,14,11,8,12,10,13,10,12,1,1,20,1,1,1,1,1,1,1,1,1,1,1,185,86,9,20,0.4,5982,5982,3166,Mediterranean_Hispanic,120,7,1998/9/7,0,0,3063.0,Club Atlético Tucumán,14118083
Anto Grgic,DM/M C,25,121,128,"Switzerland,Croatia",FC Sion,13,12,11,10,13,16,8,14,9,10,15,14,11,13,10,14,13,15,12,13,14,12,9,14,10,12,16,12,9,10,13,13,14,10,13,12,11,10,14,5,9,2,1,1,2,1,1,3,1,1,3,2,12,16,6,10,14,15,13,13,1,1,2,1,1,1,17,1,20,2,1,10,1,1,188,84,9,20,0.8,6042,6042,3493,Northern_European,121,6,1996/11/28,0,0,7071.0,,98033058
Federico Martínez,AM/S R,26,121,133,Uruguay,Club León,11,12,14,12,13,13,7,14,11,13,11,13,12,13,12,12,10,10,9,10,11,15,14,9,13,8,10,14,15,15,10,8,15,12,12,8,11,9,11,12,14,3,1,2,3,1,1,1,1,3,3,1,8,11,7,12,8,12,10,16,1,1,1,1,1,9,1,1,1,14,9,1,20,19,175,72,9,20,1.5,6050,6400,5158,Mediterranean_Hispanic,119,7,1996/2/28,1,0,9931.0,,78080248
Tanguy Coulibaly,WB/M/AM RL,21,121,142,France,VfB Stuttgart,10,9,14,9,11,9,10,10,6,7,11,12,9,12,11,10,12,9,9,11,10,12,16,6,11,7,11,13,15,15,11,8,14,15,12,11,8,7,10,6,14,1,4,1,3,1,3,1,2,2,1,2,15,14,6,10,10,12,12,14,1,7,1,1,16,10,1,16,1,12,20,1,16,14,175,72,20,8,2.0,6047,5747,4247,African_Caribbean,111,17,2001/2/18,0,0,8630.0,,49039276
Elisha Owusu,DM/M C,24,121,129,"Ghana,France",KAA Gent,8,8,9,8,11,7,11,9,8,13,13,8,14,12,13,14,13,11,13,10,12,12,10,14,10,15,15,15,13,11,13,10,14,12,16,13,12,11,10,8,11,2,1,3,1,2,2,4,3,1,1,1,7,14,10,13,12,13,14,10,1,1,13,1,1,1,20,1,18,1,1,1,1,1,182,72,8,20,2.5,5736,5740,4940,African_Caribbean,121,18,1997/11/7,2,0,15500.0,,48036651
Leandro Benegas,S,33,121,136,"Argentina,Chile",Club Atlético Independiente,6,10,11,13,12,6,14,11,3,5,10,13,8,11,10,15,15,14,12,11,9,13,11,8,13,12,14,15,12,12,16,11,16,12,14,15,15,6,11,8,9,3,3,3,1,2,2,3,4,1,2,2,17,14,6,8,12,14,16,10,1,1,1,1,1,1,1,1,1,1,10,1,1,20,179,89,20,10,0.3,5853,5853,3366,Mediterranean_Hispanic,121,11,1988/11/27,0,0,4004.0,,14004266
Maarten Vandevoordt,GK,20,121,-8,Belgium,K Racing Club Genk,4,1,3,2,9,6,1,2,3,1,15,4,1,14,6,10,12,10,14,8,11,14,14,10,2,11,10,14,13,14,12,14,7,14,10,10,10,9,12,13,14,12,12,12,13,12,14,16,14,12,6,11,19,12,12,8,11,11,10,19,20,1,1,1,1,1,1,1,1,1,1,1,1,1,192,76,7,20,11.0,6400,6000,4500,Northern_European,122,3,2002/2/26,0,0,8500.0,,18107187
Jamie Shackleton,WB/DM/M RC,22,121,144,United Kingdom,Leeds United,5,10,12,10,12,4,5,6,4,10,13,5,11,12,14,12,13,11,12,12,11,14,12,8,13,11,13,14,15,16,13,3,15,14,15,8,10,8,11,5,14,2,3,2,3,1,3,1,2,2,3,3,9,13,3,13,14,14,12,12,1,1,1,14,1,16,18,1,20,1,1,8,1,1,168,0,13,20,1.5,6050,6050,4261,Northern_European,116,2,1999/10/8,0,0,19719.0,Millwall,29174741
Washington Corozo,AM RL,24,121,137,Ecuador,Club Sporting Cristal S.A.,7,11,13,12,9,7,12,11,6,5,12,11,9,12,6,9,11,11,12,5,9,11,13,7,12,5,9,6,16,13,15,13,12,16,16,14,13,5,12,8,9,3,1,3,2,2,2,3,3,2,2,4,13,13,6,12,9,13,11,7,1,1,1,1,1,1,1,1,1,1,15,1,20,15,181,77,8,20,0.7,5858,5633,3095,African_Caribbean,114,15,1998/7/9,1,0,2208.0,Austin FC,86059742
Edo Kayembe,DM/M C,23,121,135,Democratic Republic of Congo,Watford,7,7,11,10,12,12,11,14,7,12,12,7,15,12,17,14,14,13,12,12,12,14,12,10,7,8,14,12,14,12,14,11,14,14,14,17,12,14,6,6,12,1,2,2,2,3,3,4,3,2,2,1,11,12,1,11,8,7,13,17,1,8,1,1,14,1,17,8,20,1,8,12,1,1,183,0,20,6,3.0,6050,6050,4009,African_Caribbean,118,17,1998/8/3,11,0,15949.0,,18107092
Leandro Otormín,AM/S R,25,121,126,Uruguay,Club Nacional de Football,14,13,13,13,14,14,12,12,9,8,11,14,9,13,9,11,6,9,9,12,12,7,13,11,12,11,10,10,14,13,12,7,10,13,15,9,9,5,9,11,13,2,4,3,2,2,1,1,2,2,1,3,18,10,7,10,8,11,10,10,1,1,1,1,1,1,1,1,1,6,1,1,18,20,176,70,10,20,0.4,5634,5409,3711,Mediterranean_Hispanic,115,7,1996/7/30,0,0,2269.0,Club Social y Deportivo Defensa y Justicia,78065968
Modibo Sagnan,D C,23,121,137,"France,Mali,Burkina Faso",Real San Sebastián,6,8,11,8,12,7,14,7,9,13,12,8,16,12,14,10,11,9,8,10,11,12,6,11,6,12,13,13,12,11,9,15,18,12,16,17,14,13,11,7,3,1,2,1,2,4,1,2,1,3,3,2,9,14,6,13,11,13,14,17,1,1,20,1,1,1,1,1,1,1,1,1,1,1,187,83,20,10,2.5,6050,4969,4405,African_Caribbean,118,19,1999/4/14,0,0,4866.0,FC Utrecht,48036568
César Falletti,AM RLC,29,121,134,"Uruguay,Italy",Ternana Calcio,12,11,14,13,15,14,7,16,4,3,13,12,3,15,14,14,10,11,12,13,12,12,16,9,14,4,11,10,13,15,14,5,13,13,13,7,13,8,13,5,11,1,2,2,2,1,3,3,2,3,2,1,12,11,4,14,11,12,16,15,1,1,1,1,1,1,1,1,13,10,15,20,15,13,170,65,10,20,0.9,6048,5848,3998,Native_American,121,3,1992/12/2,0,0,14229.0,,78042050
Han-Noah Massengo,DM/M C,21,121,-8,"France,Congo,Belgium",Bristol City,9,10,13,7,13,9,10,7,4,11,14,11,14,14,12,11,13,14,12,13,12,13,13,10,12,13,12,13,12,14,14,9,16,13,15,12,11,6,14,6,11,2,1,1,1,2,1,3,4,1,1,3,13,13,7,10,12,13,10,10,1,1,1,1,1,1,18,1,20,1,1,12,1,1,177,66,9,20,4.0,6050,5600,3500,Mixed_Race,123,11,2001/7/7,0,0,5800.0,,49047253
Jhojan Julio,AM LC,24,121,127,Ecuador,Liga Deportiva Universitaria de Quito,14,12,14,11,9,8,7,13,3,3,11,10,4,13,12,7,11,11,8,8,8,11,15,6,11,5,12,13,15,16,13,6,15,16,16,6,9,7,11,8,15,1,1,1,2,2,1,2,3,1,3,1,7,13,3,11,11,9,12,17,1,1,1,1,1,1,1,12,1,10,20,15,14,15,167,63,9,20,1.5,6050,6050,3000,African_Caribbean,113,16,1998/2/11,5,0,5227.0,SAN,86053784
Olmes García,S,29,121,125,"Colombia,United States",Pallokerho-35,6,12,13,11,9,10,13,6,4,7,11,8,6,11,14,13,14,10,12,9,12,14,13,7,13,7,10,13,15,14,12,12,9,16,14,14,11,11,8,14,13,1,1,1,1,1,1,1,1,1,1,1,10,6,5,10,9,10,10,10,1,1,1,1,1,1,1,1,1,1,12,10,14,20,183,79,10,20,0.175,5500,5500,2000,African_Caribbean,118,16,1992/10/21,0,0,682.0,,76014910
Darwin Quintero,AM/S RLC,34,121,143,"Colombia,Mexico,United States",Houston Dynamo FC,11,12,15,13,11,10,9,14,6,5,13,14,5,14,13,12,11,14,12,13,13,14,12,6,14,7,12,11,12,16,13,5,14,12,10,7,14,8,10,6,11,4,3,3,1,3,3,3,2,1,3,1,11,10,12,12,9,15,12,13,1,1,1,1,1,1,1,7,1,7,17,20,17,17,166,65,10,20,0.3,6041,6242,3758,African_Caribbean,115,15,1987/9/19,14,1,12821.0,,8835347
Cameron Brannagan,DM/M C,26,121,140,United Kingdom,Oxford United,12,10,11,10,13,9,5,13,4,10,13,10,11,14,16,13,12,14,12,13,13,15,12,14,12,9,15,15,12,13,14,7,16,12,15,10,13,10,13,7,13,2,1,1,3,1,2,1,1,3,3,1,13,14,7,15,14,16,12,15,1,1,1,1,1,1,18,1,20,1,1,15,1,1,181,71,8,20,0.5,6050,6050,3710,Northern_European,121,6,1996/5/9,0,0,11599.0,,28085799
Sérgio Mosquera,D C,28,121,125,Colombia,Club Deportes Tolima S.A.,4,4,5,9,10,12,15,8,5,13,11,16,13,11,10,14,11,12,13,11,12,13,6,13,11,13,11,13,12,11,13,14,13,12,12,14,13,7,13,6,10,4,2,1,1,2,3,2,1,3,1,2,11,12,8,12,10,12,10,11,1,1,20,1,1,1,1,1,1,1,1,1,1,1,185,77,8,20,0.55,6050,6050,2824,African_Caribbean,121,16,1994/2/9,0,0,7499.0,,76036843
Jhonatan Candia,S,27,121,121,Uruguay,Club Atlético Rosario Central,6,12,13,12,13,13,12,9,7,6,12,13,5,13,13,12,15,10,10,12,12,10,12,7,14,12,12,13,14,14,12,9,12,12,14,12,11,8,9,7,10,1,3,4,1,3,1,1,4,1,1,3,10,10,6,9,10,9,10,7,1,1,1,1,1,1,1,1,1,1,10,10,10,20,177,68,12,20,0.4,5950,5409,3255,Mediterranean_Hispanic,121,10,1995/3/15,0,0,1919.0,,78062063
Paolo Goltz,D C,37,121,139,Argentina,Club Atlético Colón de Santa Fe,5,8,6,7,8,13,16,6,6,16,10,15,15,8,11,13,16,14,13,10,11,14,4,17,7,15,14,14,8,9,13,13,10,8,12,14,13,15,15,14,8,1,2,3,3,1,2,3,3,2,3,2,9,10,13,17,15,16,16,13,1,1,20,7,1,1,1,1,1,1,1,1,1,1,184,80,8,20,0.075,6171,6171,3731,Mediterranean_Hispanic,120,12,1985/5/12,1,0,10439.0,,955897
Francisco González,AM RL,21,121,144,Argentina,Club Atlético Newell's Old Boys,12,15,14,8,14,13,10,12,4,3,13,11,3,14,5,13,12,12,11,14,13,13,14,4,14,8,14,10,14,12,13,5,14,13,13,9,12,8,8,9,10,1,3,3,2,2,4,1,3,2,2,3,11,13,5,13,12,13,11,9,1,1,1,1,1,1,1,15,1,12,20,9,17,10,170,70,20,8,1.0,5800,5800,2150,Mediterranean_Hispanic,120,2,2001/4/6,0,0,1326.0,,14217323
José Sosa,M/AM C,37,121,146,Argentina,Club Estudiantes de La Plata,15,16,12,12,16,15,11,14,7,8,17,16,9,15,10,14,12,17,12,17,13,12,15,14,14,12,14,5,8,10,13,10,14,10,6,10,8,10,12,3,12,1,1,2,3,3,2,3,1,2,1,2,8,10,8,15,16,14,14,17,1,1,1,1,1,1,12,12,20,13,9,18,11,7,179,72,10,20,0.2,6250,6250,5600,Mediterranean_Hispanic,120,5,1985/6/19,19,1,11048.0,,955655
Ricardo Mangas,D/WB/M L,24,121,130,Portugal,Boavista Futebol Clube - SAD,12,12,12,9,13,12,7,7,10,11,11,11,13,14,15,12,11,13,13,13,12,13,13,10,12,10,14,13,14,14,12,9,13,13,14,8,12,14,12,10,9,3,1,2,1,1,1,2,1,3,3,3,19,12,6,13,11,13,10,10,1,20,10,1,18,1,1,16,1,1,14,1,1,1,179,66,20,7,3.0,6050,5950,3802,Mediterranean_Hispanic,117,4,1998/3/19,0,0,3499.0,,55082268
Franco Soldano,S,27,121,125,"Argentina,Italy",Club de Gimnasia y Esgrima La Plata,6,9,11,12,12,8,15,9,5,7,12,13,7,12,13,15,14,11,14,12,14,12,6,8,14,11,14,16,11,12,15,14,15,12,14,14,12,10,13,11,9,4,1,1,2,1,3,2,3,2,3,2,9,14,11,12,12,16,9,11,1,1,1,1,1,1,1,1,1,7,1,1,8,20,180,79,8,20,0.45,6106,6106,3635,Northern_European,122,4,1994/9/14,0,0,6076.0,,14114486
Jhonny Quiñónez,DM/M RC,24,121,129,Ecuador,Sociedad Deportiva Aucas,8,11,13,10,14,14,10,15,6,11,15,12,10,14,14,8,11,13,10,12,11,12,13,11,11,9,15,13,14,13,8,11,16,13,15,10,12,9,12,8,16,2,3,2,3,1,2,1,3,1,1,2,5,13,1,13,11,12,10,16,1,1,1,1,1,1,17,10,20,15,8,14,12,1,180,71,9,20,0.65,6050,6050,3250,African_Caribbean,120,15,1998/6/11,3,1,5675.0,,86067901
Jack Price,DM/M C,29,121,126,United Kingdom,Colorado Rapids,16,12,8,5,13,9,9,9,7,12,16,8,13,13,14,14,11,14,15,14,13,15,5,15,11,14,17,14,12,12,12,6,14,12,14,10,15,9,13,10,6,1,1,1,1,1,1,1,1,1,1,1,11,12,3,17,13,19,16,16,1,1,1,1,1,1,20,1,18,1,1,1,1,1,171,69,7,20,2.0,6134,5856,3756,Northern_European,124,5,1992/12/19,0,0,14057.0,,28049347
Kristian Eriksen,M/AM/S RC,27,121,129,Norway,Molde FK,11,11,10,10,10,9,10,9,8,11,11,6,10,11,17,12,15,9,8,10,12,15,14,12,13,11,13,16,14,12,10,8,13,14,15,11,15,15,6,5,15,2,3,2,1,2,3,2,1,2,3,2,14,15,13,9,13,16,11,7,1,5,1,10,7,10,1,12,20,15,14,12,18,17,177,74,8,20,1.0,6050,6050,3100,Northern_European,105,1,1995/7/18,0,0,2421.0,,53110390
